id,happiness
8001,3.837167425903269
8002,2.8915417902166425
8003,3.449333273951251
8004,4.347056044927923
8005,3.237998357563481
8006,4.392484832426021
8007,3.9421548240166326
8008,4.500000271138495
8009,4.050803032745244
8010,2.897208699862186
8011,2.998647370266706
8012,3.687387264933096
8013,4.166691598168884
8014,3.5014521042774787
8015,3.4948020748795283
8016,4.550339240710586
8017,3.629709167228071
8018,4.350904969563539
8019,3.8616534296742446
8020,3.954109385384566
8021,4.059887916735424
8022,3.731765357116521
8023,4.0322877398128085
8024,3.821708566270206
8025,3.1178083229429765
8026,4.0475212913446095
8027,4.268482536936243
8028,3.9418643044823747
8029,4.477903614602495
8030,4.240405241055066
8031,3.844415112321678
8032,4.216174832462234
8033,4.0942828853757245
8034,3.5158843030636073
8035,3.4660015625984952
8036,4.501492643266655
8037,4.06969414320087
8038,4.035141303353726
8039,3.777579495794567
8040,4.145913580046408
8041,4.29992478443285
8042,3.7772794654091286
8043,3.9957977759309036
8044,3.7672478053278247
8045,4.345477788538108
8046,4.024000606327833
8047,4.464008772625971
8048,3.913080252296571
8049,3.817012557257997
8050,4.4958121622664
8051,3.9359887494107157
8052,4.138307080938126
8053,2.9712221506289964
8054,3.9392692200815866
8055,4.188938385878192
8056,2.8141126473055755
8057,3.8458185870669146
8058,3.39209010186475
8059,2.9057503406088308
8060,4.242771538643249
8061,3.222113660218415
8062,3.4007190454967233
8063,3.948421018775961
8064,4.100553239475982
8065,4.063214725498931
8066,4.162024037238397
8067,4.053403400461838
8068,3.9702300607942855
8069,3.6664426645857815
8070,4.0951374008028925
8071,4.013129594607322
8072,4.343901572049721
8073,3.6493010439395044
8074,3.8382356028909057
8075,3.3275338990973657
8076,3.835420177527284
8077,3.491117378833645
8078,3.976667415757819
8079,4.476665481918551
8080,4.018461555761796
8081,4.009762775793934
8082,3.97827235822728
8083,4.441353375181423
8084,4.3626081629252385
8085,4.432732260336533
8086,4.180690308236482
8087,4.151799814933022
8088,4.155175048196802
8089,3.6269934562937536
8090,3.8401605125114675
8091,4.162747601252691
8092,3.8201624283321025
8093,4.240192163071158
8094,4.233993234420641
8095,4.789401275453624
8096,3.343323687024005
8097,4.323279061977258
8098,3.8784578620017167
8099,3.666722089500838
8100,4.033326732877778
8101,4.137561532602304
8102,4.127931668640062
8103,3.616210910544771
8104,4.5954083161403245
8105,4.023980825361034
8106,4.2884324614671225
8107,4.3404193702826195
8108,4.103595340207063
8109,3.716778989943413
8110,3.659901224625671
8111,4.25955339136531
8112,3.6063708378046533
8113,3.8226232443467554
8114,4.531861424435202
8115,3.920419825795253
8116,4.235273743393889
8117,3.7821149977890274
8118,3.669807738403517
8119,4.052154078077862
8120,4.523479465960805
8121,3.2380950417716976
8122,4.237844089106003
8123,3.5945236793859143
8124,3.754113697724486
8125,4.192039545289145
8126,4.588174118783803
8127,1.9220425605899867
8128,4.018168335996163
8129,3.816144338358573
8130,3.9236543681236022
8131,3.8879480007146205
8132,4.25346855078599
8133,4.209732343062017
8134,4.190722567267535
8135,3.957648967672898
8136,4.498222850705519
8137,4.172509445078552
8138,3.562936972375653
8139,3.8510525911779885
8140,3.0418959604004416
8141,4.019640839581048
8142,3.795312161823958
8143,4.443216277407153
8144,3.752081108585423
8145,4.175290392136602
8146,2.078880976625688
8147,3.997960361723959
8148,2.6674505872437377
8149,3.7015939300413265
8150,3.718732026434346
8151,2.9015286984164774
8152,4.008698415190204
8153,3.5100224908576134
8154,3.6363042543046578
8155,3.853560476103113
8156,3.7677806691055933
8157,3.8765074800780823
8158,3.2578345271276854
8159,4.037896597591616
8160,3.981668186316623
8161,3.5490604110028254
8162,4.003603495174511
8163,4.117175288076133
8164,3.856118692869048
8165,4.153376600367786
8166,4.280656760171831
8167,3.8268287610182643
8168,2.927070141934402
8169,3.1447798056334393
8170,3.827631371931791
8171,3.928120411303467
8172,4.020442773887447
8173,3.723263551767958
8174,3.4962647467723103
8175,3.7509595205134842
8176,4.183344079408569
8177,2.4469332623604316
8178,4.412484471387891
8179,4.14877192612789
8180,3.206661135360242
8181,3.6614641070229603
8182,4.034500498407842
8183,3.7050421073600046
8184,3.748597273084186
8185,3.1715180949500716
8186,3.3474008110631326
8187,4.1400443628490216
8188,3.880044796635471
8189,3.879647968302761
8190,4.247032365140672
8191,3.9571000902491367
8192,3.8892199079524774
8193,3.891925194943713
8194,3.8962095074985026
8195,4.465234064264653
8196,3.1472569175790928
8197,3.9713598356618593
8198,4.11565248979669
8199,4.233291567309339
8200,4.800589163441463
8201,3.4511867555084357
8202,4.104205811212307
8203,3.8211584060375285
8204,4.1360861951657295
8205,4.196287832212752
8206,3.894200660929563
8207,3.8933896834859203
8208,4.027303119885548
8209,3.7571697133285533
8210,3.7204812762616055
8211,3.6007882769307242
8212,4.219436683646219
8213,4.520613352213303
8214,4.077260321446292
8215,3.607266754615522
8216,4.199683040397179
8217,3.4165497545201715
8218,3.8025060106956996
8219,3.8079032616358504
8220,4.1128510633961755
8221,4.503544473795726
8222,4.016262510622559
8223,3.0425829013043075
8224,3.8803477682123653
8225,4.047152133394836
8226,3.9182255623590634
8227,4.359817182434969
8228,3.240101997657388
8229,4.105002941643323
8230,3.278824507618306
8231,3.9206197937726297
8232,3.844567689478192
8233,3.965050989364604
8234,3.924085314099637
8235,3.7630142557187596
8236,3.1446668415289745
8237,3.6991704170009823
8238,3.96727952459067
8239,3.6530632985840525
8240,3.2760003399460995
8241,3.3031761993639854
8242,3.905513580979324
8243,4.455600913016279
8244,4.086315649676098
